Date,Symbol,Security Name,Client Name,Buy/Sell,Quantity Traded,Trade Price / Wght. Avg. Price
14-NOV-2025,RAIN,Rain Industries Limited,FIRST WATER FUND,BUY,2600000,120.00
14-NOV-2025,SHAILY,Shaily Eng Plastics Ltd,MORGAN STANLEY IFSC FUND,BUY,40000,2585.10
14-NOV-2025,SHAILY,Shaily Eng Plastics Ltd,S I INVESTMENTS ## BROKING PVT.LTD,BUY,60000,2585.10
14-NOV-2025,SHAILY,Shaily Eng Plastics Ltd,MOTILAL OSWAL MUTUAL FUND,BUY,12000,2585.10
14-NOV-2025,SHAILY,Shaily Eng Plastics Ltd,MOTILAL OSWAL MUTUAL FUND,BUY,38000,2585.10
14-NOV-2025,RAIN,Rain Industries Limited,HARESH TIKAMDAS KASWANI,SELL,1200000,120.00
14-NOV-2025,RAIN,Rain Industries Limited,K2 FAMILY PRIVATE TRUST,SELL,1400000,120.00
14-NOV-2025,SHAILY,Shaily Eng Plastics Ltd,AMIT MAHENDRA SANGHVI,SELL,100000,2585.10
14-NOV-2025,SHAILY,Shaily Eng Plastics Ltd,LAXMAN SANGHVI,SELL,50000,2585.10
